gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
T,chess,Leaf,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,High,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
T,chess,Inner,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
